Z200	AFGHANISTAN
Z300	AFRICA DEL SUDOVEST (NAMIBIA)
Z100	ALBANIA
Z301	ALGERIA
Z101	ANDORRA
Z302	ANGOLA
Z500	ANTILLE BRITANNICHE
Z523	ANTILLE BRITANNICHE
Z501	ANTILLE OLANDESI
Z203	ARABIA SAUDITA
Z201	ARABIA MERIDIONALE FEDERAZIONE
Z202	ARABIA MERIDIONALE PROTETTORATO
Z600	ARGENTINA
Z137	ARMENIA
Z700	AUSTRALIA
Z102	AUSTRIA
Z141	AZERBAIDJAN
Z502	BAHAMA
Z204	BAHREIN
Z249	BANGLADESH
Z522	BARBADOS
Z303	BASUTOLAND
Z304	BECIUANIA
Z103	BELGIO
Z512	BELIZE
Z400	BERMUDE ISOLE
Z205	BHUTAN
Z139	BIELORUSSIA
Z206	BIRMANIA
Z601	BOLIVIA
Z153	BOSNIA ERZEGOVINA
Z358	BOTSWANA
Z602	BRASILE
Z207	BRUNEI
Z104	BULGARIA
Z354	BURKINA FASO (ALTO VOLTA)
Z305	BURUNDI
Z208	CAMBOGIA (KAMPUCHEA)
Z306	CAMERUN
Z401	CANADA
Z307	CAPO VERDE
Z701	CAROLINE ISOLE
Z105	CECOSLOVACCHIA
Z209	CEYLON SRILANKA
Z702	CHRISTMAS
Z309	CIAD
Z603	CILE
Z210	CINA REP. POPOLARE
Z211	CIPRO
Z106	CITTA' DEL VATICANO
Z212	COCOS
Z604	COLOMBIA
Z310	COMORE
Z311	CONGO REP. POPOLARE
Z703	COOK
Z213	COREA REPUBBLICA DI (SUD)
Z214	COREA REPUBBLICA POPOLARE
Z313	COSTA D'AVORIO
Z503	COSTARICA
Z149	CROAZIA
Z504	CUBA
Z314	DAHOMEY (BENIN)
Z107	DANIMARCA
Z900	DIPENDENZE AUSTRALIANE
Z901	DIPENDENZE BRITANNICHE
Z800	DIPENDENZE CANADESI
Z902	DIPENDENZE FRANCESI
Z903	DIPENDENZE NEOZELANDESI
Z801	DIPENDENZE NORVEGESI
Z904	DIPENDENZE NORVEGESI
Z802	DIPENDENZE SOVIETICHE
Z905	DIPENDENZE STATUNITENSI
Z526	DOMINICA
Z336	EGITTO
Z506	EL SALVADOR
Z705	ELLICE (TUVALU)
Z215	EMIRATI ARABI UNITI
Z605	EQUADOR
Z144	ESTONIA
Z315	ETIOPIA
Z108	FAEROER (ISOLE)
Z704	FIGI o VITI
Z216	FILIPPINE
Z109	FINLANDIA
Z217	FORMOSA (TAIWAN)
Z110	FRANCIA
Z316	GABON
Z317	GAMBIA
Z218	GAZA
Z136	GEORGIA
Z111	GERMANIA REP. DEMOCRATICA
Z112	GERMANIA REP. FEDERALE
Z318	GHANA
Z507	GIAMAICA
Z219	GIAPPONE
Z113	GIBILTERRA
Z361	GIBUTI
Z220	GIORDANIA
Z114	GRAN BRETAGNA
Z115	GRECIA
Z524	GRENADA
Z402	GROENLANDIA
Z508	GUADALUPA
Z706	GUAM
Z509	GUATEMALA
Z606	GUAYANA BRITANNICA
Z607	GUAYANA FRANCESE
Z319	GUINEA
Z320	GUINEA BISSAU
Z321	GUINEA EQUATORIALE
Z510	HAITI
Z511	HONDURAS
Z221	HONG KONG
Z323	IFNI
Z222	INDIA
Z223	INDONESIA
Z224	IRAN
Z225	IRAQ
Z707	IRIAN OCCIDENTALE
Z116	IRLANDA
Z117	ISLANDA
Z520	ISOLE VERGINI
Z226	ISRAELE
Z118	JUGOSLAVIA
Z152	KAZAKISTAN
Z322	KENIA
Z142	KIRGHIZISTAN
Z731	KIRIBATI
Z227	KUWAIT
Z324	LA REUNION
Z228	LAOS
Z359	LESOTHO
Z145	LETTONIA
Z229	LIBANO
Z325	LIBERIA
Z326	LIBIA
Z119	LIECHTENSTEIN
Z146	LITUANIA
Z120	LUSSEMBURGO
Z231	MACAO
Z148	MACEDONIA
Z708	MACQUARIE'
Z327	MADAGASCAR
Z328	MALAWI
Z247	MALAYSIA E SARAWAK
Z232	MALDIVE
Z230	MALESIA
Z329	MALI
Z121	MALTA
Z609	MALVINE O FALKLAND
Z122	MAN ISOLA
Z709	MARCUS ISOLE
Z710	MARIANNE
Z330	MAROCCO
Z711	MARSHALL
Z513	MARTINICA
Z331	MAURITANIA
Z332	MAURIZIO ISOLE
Z360	MAYOTIE
Z514	MESSICO
Z712	MIDWAY
Z140	MOLDAVIA
Z123	MONACO
Z233	MONGOLIA
Z531	MONTESERRAT
Z333	MOZAMBICO
Z713	NAURU
Z234	NEPAL
Z515	NICARAGUA
Z334	NIGER
Z335	NIGERIA
Z714	NLUE o SAVAGE ISOLE
Z715	NORFOLK
Z124	NORMANNE ISOLE
Z125	NORVEGIA
Z719	NUOVA ZELANDA
Z716	NUOVA CALEDONIA
Z718	NUOVA GUINEA
Z717	NUOVE EBRIDI ( VANUATU)
F999	NUOVO CODICE
Z235	OMAN
Z126	PAESI BASSI
Z236	PAKISTAN
Z516	PANAMA
Z517	PANAMA ZONA DEL CANALE
Z730	PAPUA NUOVA GUINEA
Z720	PAPUASIA
Z610	PARAGUAY
Z721	PASQUA (ISOLA)
Z611	PERU'
Z722	PITCAIRN
Z723	POLINESIA (ISOLE)
Z127	POLONIA
Z518	PORTO RICO
Z128	PORTOGALLO
Z237	QATAR
Z155	REP. SLOVACCHIA
Z308	REPUBBLICA CENTRAFRICANA
Z505	REPUBBLICA DOMINICANA
Z337	RHODESIA
Z129	ROMANIA
Z338	RUANDA
Z154	RUSSIA
Z238	RYUKYU ISOLE
Z339	SAHARA SPAGNOLO
Z527	SAINT LUCIA
Z403	SAINT PIERRE ET MIQUELON ISOLE
Z724	SALOMONE
Z725	SAMOA AMERICANE (ISOLE)
Z726	SAMOA OCCIDENTALI
Z130	SAN MARINO
Z340	SANT' ELENA
Z341	SAO TOME' E PRINCIPE
Z342	SEICELLE
Z343	SENEGAL
Z344	SIERRA LEONE
Z239	SIKKIM
Z248	SINGAPORE
Z240	SIRIA
Z150	SLOVENIA
Z345	SOMALIA
Z346	SOMALIA FRANCESE
Z131	SPAGNA
Z347	SUDAFRICA
Z348	SUDAN
Z608	SURINAME G. OLANDESE
Z132	SVEZIA
Z133	SVIZZERA
Z349	SWAZILAND
Z147	TAGIKISTAN
Z350	TANGANICA
Z357	TANZANIA
Z241	THAILANDIA
Z242	TIMOR ISOLA
Z351	TOGO
Z727	TOKELAU
Z728	TONGA O DEGLI AMICI
Z612	TRINIDAD E TOBAGO
Z352	TUNISIA
Z243	TURCHIA
Z151	TURKMENISTAN
Z519	TURKS E CAICOS
Z732	TUVALU
Z138	UCRAINA
Z353	UGANDA
Z134	UNGHERIA
Z135	URSS
Z613	URUGUAY
Z404	USA
Z143	UZBEKISTAN
Z614	VENEZUELA
Z251	VIETNAM
Z245	VIETNAM DEL NORD
Z244	VIETNAM DEL SUD
Z729	WALLIS
Z246	YEMEN
Z250	YEMEN REP. DEM. POP.
Z312	ZAIRE
Z355	ZAMBIA
Z356	ZANZIBAR
